,adversary,target,technique,publish date,motive,interesting_insight
432,Chinese hackers,Malaysian government officials,Data theft,February 2020,To steal data related to government-backed projects in the region,
433,Unknown,Iran's communications infrastructure,DDoS,February 2020,Unknown,The attack caused internet outages across the country
434,An Iranian hacking group,U.S. based research company Wesat,Unknown,January 2020,suspected effort to gain access to the firm’s clients in the public and private sectors,Unknown
435,unknown but sophisticated hacking group,UN's IT systems in Europe,Unknown,January 2020,Unknown,The UN was revealed to have covered up the hack
436,Turkish government hackers,"30 organizations across Europe and the Middle East, including government ministries, embassies, security services, and companies",Unknown,January 2020,Unknown,Unknown
437,a suspected Chinese group,Mitsubishi,massive cyberattack,January 2020,"compromised personal data of 8,000 individuals as well as information relating to partnering businesses and government agencies",including projects relating to defense equipment
438,nation state hackers,networks of two U.S. municipalities,exfiltrating user information and establishing backdoor access,January 2020,future compromise,The FBI announced the breach
439,A Russian hacking group,a Ukrainian energy company,infiltration,January 2020,Unknown,"Hunter Biden was previously a board member of the company, and the company has featured prominently in the U.S. impeachment debate"
440,Israeli NSO Group,Pakistani government officials' mobile phones,spyware,January 2020,Unknown,More than two dozen Pakistani government officials were targeted
441,A suspected nation state,the Austrian foreign ministry,cyber attack,January 2020,Unknown,The attack lasted several weeks
442,Unknown,"Bapco, the national oil company of Bahrain",Iranian wiper malware,December 2019,Unknown,Unknown
443,North Korean hacking group,"government employees, think tank experts, university staff, and others involved in nuclear proliferation issues",use of web domains,December 2019,Unknown,Microsoft won a legal battle to take control of 50 web domains used by the hacking group
444,Chinese state-sponsored hacking group,government entities and managed service providers,bypassing the two-factor authentication,December 2019,Unknown,Unknown
445,Chinese hackers,a Cambodian government organization,custom malware,December 2019,,
446,Unknown hackers,government agencies in 22 nations,stole login credentials,December 2019,Unknown,Unknown
447,a foreign government,Iran’s e-government infrastructure,major cyber attack,December 2019,Unknown,Iran managed to foil the attack
448,A suspected Vietnamese state-sponsored hacking group,BMW and Hyundai networks,,December 2019,,
449,Russian government hackers,"Ukrainian diplomats, government officials, military officers, law enforcement, journalists, and nongovernmental organizations",spear phishing campaign,December 2019,,
450,A Russian-speaking hacking group,"Kazakh individuals and organizations including government agencies, military personnel, foreign diplomats, journalists, dissidents, and others",spear phishing and physical device compromise,November 2019,,
451,an Iranian hacker group,"employees of dozens of manufacturers, suppliers, or maintainers of industrial control system equipment and software",password-spraying attacks,November 2019,Unknown,"Microsoft security researchers found that in the last year, the hacker group carried out attacks on thousands of organizations, but since October, have focused on the specific target"
452,An alleged non-state actor,UK Labour party,DDoS attack,November 2019,Unknown,The attack temporarily took the party’s computer systems offline
453,An Israeli cybersecurity firm,senior government and military officials in at least 20 countries,exploiting a vulnerability in WhatsApp,October 2019,Unknown,"The spyware was sold, not used directly by the cybersecurity firm"
454,Russia,"websites across Georgia, including government and court websites containing case materials and personal data",state-sponsored hacking campaign,October 2019,Unknown,More than 20 countries later attributed the attack to Russia
455,North Korean malware,a nuclear power plant,data extraction,October 2019,Unknown,India announced that North Korean malware had been identified in the networks of a nuclear power plant
456,Suspected North Korean hackers,individuals working on North Korea-related issues at the UN and other NGOs,attempted to steal credentials,October 2019,Unknown,Unknown
457,Russian cyberespionage campaign,Middle Eastern targets,used an Iranian hacking group’s tools and infrastructure,October 2019,to spy,The NSA and GCHQ found that a Russian cyberespionage campaign had used an Iranian hacking group’s tools and infrastructure
458,Russian hackers,embassies and foreign affairs ministries in several European countries,Unknown,October 2019,Unknown,The campaign has been ongoing since 2013
459,Iranian hackers,more than 170 universities around the world,stealing,October 2019,stealing $3.4 billion worth of intellectual property and selling stolen data to Iranian customers,The attack was carried out between 2013 and 2017
460,Chinese hackers,foreign companies,multi-year campaign,October 2019,to acquire intellectual property to support the development of the Chinese C919 airliner,The hacking campaign lasted between 2010 and 2015
461,Chinese government,propaganda app with more than 100 million users,programmed to have a backdoor,October 2019,"granting access to location data, messages, photos, and browsing history, as well as remotely activate audio recordings",
462,The Moroccan government,two human rights activists,spyware,October 2019,Unknown,The spyware was purchased from Israel
463,A state-sponsored hacking group,diplomats and high-profile Russian speaking users in Eastern Europe,,October 2019,,
464,Chinese hackers,"entities in Germany, Mongolia, Myanmar, Pakistan, and Vietnam, individuals involved in UN Security Council resolutions regarding ISIS, and members of religious groups and cultural exchange nonprofits in Asia",Unknown,October 2019,Unknown,Unknown
465,Iranian hackers,"the Trump campaign, current and former U.S. government officials, journalists, and Iranians living abroad",Unknown,October 2019,Unknown,Unknown
466,State-sponsored Chinese hackers,"Myanmar, Taiwan, Vietnam, Indonesia, Mongolia, Tibet, Xinjiang",espionage campaigns,October 2019,Unknown,The hackers have conducted at least six espionage campaigns since 2013
467,The Egyptian government,"journalists, academics, lawyers, human rights activists, and opposition politicians",cyberattacks,October 2019,Unknown,Unknown
